,date,confirmed,death,recovered,active
0,2020-01-22,557,17,30.0,510.0
1,2020-01-23,655,18,32.0,605.0
2,2020-01-24,941,26,39.0,876.0
3,2020-01-25,1434,42,42.0,1350.0
4,2020-01-26,2118,56,56.0,2006.0
5,2020-01-27,2927,82,65.0,2780.0
6,2020-01-28,5578,131,108.0,5339.0
7,2020-01-29,6167,133,126.0,5908.0
8,2020-01-30,8235,171,143.0,7921.0
9,2020-01-31,9927,213,222.0,9492.0
10,2020-02-01,12038,259,284.0,11495.0
11,2020-02-02,16787,362,463.0,15962.0
12,2020-02-03,19887,426,608.0,18853.0
13,2020-02-04,23898,492,826.0,22580.0
14,2020-02-05,27643,564,1077.0,26002.0
15,2020-02-06,30805,634,1424.0,28747.0
16,2020-02-07,34399,719,1908.0,31772.0
17,2020-02-08,37130,806,2471.0,33853.0
18,2020-02-09,40161,906,3060.0,36195.0
19,2020-02-10,42769,1013,3717.0,38039.0
20,2020-02-11,44812,1113,4418.0,39281.0
21,2020-02-12,45230,1118,4850.0,39262.0
22,2020-02-13,60382,1371,5929.0,53082.0
23,2020-02-14,66910,1523,7616.0,57771.0
24,2020-02-15,69053,1666,8904.0,58483.0
25,2020-02-16,71236,1770,10321.0,59145.0
26,2020-02-17,73271,1868,11955.0,59448.0
27,2020-02-18,75153,2008,13693.0,59452.0
28,2020-02-19,75653,2123,15397.0,58133.0
29,2020-02-20,76213,2248,17374.0,56591.0
30,2020-02-21,76842,2252,17971.0,56619.0
31,2020-02-22,78603,2459,21856.0,54288.0
32,2020-02-23,78984,2470,22307.0,54207.0
33,2020-02-24,79552,2630,24049.0,52873.0
34,2020-02-25,80406,2710,26654.0,51042.0
35,2020-02-26,81383,2771,29091.0,49521.0
36,2020-02-27,82742,2814,31934.0,47994.0
37,2020-02-28,84131,2873,35319.0,45939.0
38,2020-02-29,86027,2943,38327.0,44757.0
39,2020-03-01,88403,2997,41223.0,44183.0
40,2020-03-02,90383,3086,44098.0,43199.0
41,2020-03-03,92984,3160,46690.0,43134.0
42,2020-03-04,95290,3255,49629.0,42406.0
43,2020-03-05,98108,3348,52247.0,42513.0
