Country/Region,Lat,Long,confirmed,death,recovered,active
Afghanistan,25895.54093,51662.694139,56678550,2468849,18289880.0,35919821.0
Albania,31399.9679,15388.4129,67915783,1135966,22652652.0,44127165.0
Algeria,21389.8657,1266.2748,80626468,2288254,25670233.0,52667981.0
Andorra,32432.306900000003,1161.1334,7514500,67813,3085649.0,4361038.0
Angola,-8547.660100000001,13637.785699999999,21178603,504599,5895800.0,14778204.0
Antarctica,-54897.7737,17813.761000000002,781,0,0.0,781.0
Antigua and Barbuda,13017.3904,-47150.6532,1037840,26170,191813.0,819857.0
Argentina,-29311.4843,-48539.5421,1999271562,41882866,711610324.0,1245778372.0
Armenia,30572.723299999998,34364.1466,120452360,2414872,51634388.0,66403100.0
Australia,-195976.7026,862833.8957,147839087,748247,8821094.0,138269746.0
Austria,36254.8606,11101.7263,368276008,4872258,131744371.0,231659379.0
Azerbaijan,30629.185299999997,36301.1747,185935808,2515220,68764706.0,114655882.0
Bahamas,19094.750255,-59541.383307,7773619,185522,2484156.0,5103941.0
Bahrain,19858.9825,38569.65,112259770,493225,48612087.0,63154458.0
Bangladesh,18071.655,68941.8569,549054257,8966805,190856309.0,349231143.0
Barbados,10066.9457,-45431.4616,5191595,44856,692334.0,4454405.0
Belarus,40980.5774,21328.444199999998,219344186,1683021,88191538.0,129469627.0
Belgium,38785.8079,3410.5611679999997,620042941,13417535,3797810.0,602827596.0
Belize,13115.8937,-67523.6688,9336719,182017,2947228.0,6207474.0
Benin,7101.775100000001,1766.9553999999998,6471693,56973,1723986.0,4690734.0
Bhutan,20993.3346,69000.8368,993411,871,294915.0,697625.0
Bolivia,-12429.4226,-48518.178100000005,209621139,8002454,69896258.0,131722427.0
Bosnia and Herzegovina,33507.8317,13489.153299999998,99437364,4271224,35933408.0,59232732.0
Botswana,-17036.6455,18834.5787,50842899,626509,9700789.0,40515601.0
Brazil,-10861.305,-39619.0039,8424680830,229992609,3412350387.0,4782337834.0
Brunei,3460.4339000000004,87537.2351,2493566,15458,82751.0,2395357.0
Bulgaria,32605.965699999997,19445.6654,218546417,8654537,68475929.0,141415951.0
Burkina Faso,9337.822900000001,-1191.5008,6443290,99189,2924007.0,3420094.0
Burma,16722.0606,73214.428,138802900,4547493,34256258.0,99999149.0
Burundi,-2573.6753,22828.1207,5403175,9191,249099.0,5144885.0
Cabo Verde,12619.104399999998,-17580.893399999997,14525502,127233,5686352.0,8711917.0
Cambodia,8812.65,80051.4421,27338089,583864,3660787.0,23093438.0
Cameroon,2936.024,8776.1023,37140206,620882,10896314.0,25623010.0
Canada,540856.8228,-917582.1977,690918740,13434543,0.0,677484197.0
Central African Republic,5044.2693,15976.7622,4668251,49718,1529613.0,3088920.0
Chad,11791.5546,14292.668599999999,2351348,89213,1091049.0,1171086.0
Chile,-27220.101300000002,-54587.30900000001,704397605,15630524,316380403.0,372386678.0
China,828078.0249,2814659.4651,73169948,3439885,44912037.0,24818026.0
Colombia,3487.5967,-56688.839900000006,1844871935,47095665,735029503.0,1062746767.0
Comoros,-8885.5165,33063.3079,1902654,59869,774724.0,1068061.0
Congo (Brazzaville),-173.964,12076.535100000001,6768706,105124,2439213.0,4224369.0
Congo (Kinshasa),-3081.2228999999998,16601.8881,21972293,456894,6871642.0,14643757.0
Costa Rica,7438.4107,-63903.8442,186268205,2296450,55496121.0,128475634.0
Cote d'Ivoire,5753.02,-4232.4373000000005,25583218,208431,11756813.0,13617974.0
Croatia,34411.3,11597.6,194015807,3733800,70509798.0,119772209.0
Cuba,16421.100591000002,-59347.030420999996,206031986,1702374,23926231.0,180403381.0
Cyprus,26801.443199999998,25507.013700000003,45182258,191739,5113971.0,39876548.0
Czechia,38010.7525,11805.899000000001,785407146,12700247,317365660.0,455341239.0
Denmark,144865.7742,-30530.910900000003,214003282,1294208,57832579.0,154876495.0
Diamond Princess,0.0,0.0,525460,9249,340257.0,175954.0
Djibouti,9022.551300000001,32496.3989,5876521,72106,2987544.0,2816871.0
Dominica,11761.644999999999,-46826.073000000004,1107483,6170,41026.0,1060287.0
Dominican Republic,14295.339100000001,-53534.140100000004,162634728,1939808,62636404.0,98058516.0
Ecuador,-1397.2056,-59653.9342,219055267,12848605,89535763.0,116670899.0
Egypt,20464.081939,23502.305974,139578029,7862185,51654262.0,80061582.0
El Salvador,10524.9746,-67828.0295,43039614,1306428,17603810.0,24129376.0
Equatorial Guinea,1259.5604,7834.4077,5117642,70329,2213717.0,2833596.0
Eritrea,11581.8822,30353.8949,2433134,15016,799117.0,1619001.0
Estonia,44708.2139,19085.376800000002,67241587,554467,19741545.0,46945575.0
Eswatini,-20236.6675,24008.4817,15332171,402533,4163661.0,10765977.0
Ethiopia,6977.634999999999,30893.6411,135965815,2167376,48046171.0,85752268.0
Fiji,-13515.324200000001,135863.595,11327837,136246,176313.0,11015278.0
Finland,47248.095929999996,19645.839213,68217068,571455,11629672.0,56015941.0
France,58830.042985,-90091.69348199997,3274473144,54704451,96506536.0,3123262157.0
Gabon,-613.2230999999999,8857.9722,13180250,86146,5266985.0,7827119.0
Gambia,10257.1616,-11681.6063,3754933,119128,1452162.0,2183643.0
Georgia,32286.650199999996,33081.3147,241636773,3232341,71433919.0,166970513.0
Germany,39039.422233000005,7974.514338,2026368116,40140874,695248246.0,1290978996.0
Ghana,6063.1795,-780.7016000000001,54312468,441635,25893775.0,27977058.0
Greece,29813.614599999997,16651.9409,284358850,5832021,24659121.0,253867708.0
Grenada,9244.8895,-47061.077000000005,1260990,30722,39038.0,1191230.0
Guatemala,12042.8105,-68846.1004,184444855,5156533,57897895.0,121390427.0
Guinea,7588.492800000001,-7398.5058,12848880,118217,5848704.0,6881959.0
Guinea-Bissau,9006.2231,-11582.6452,2532242,48391,958459.0,1525392.0
Guyana,3708.4974079999997,-44963.72734,11212875,267322,2964263.0,7981290.0
Haiti,14475.025599999999,-55153.6076,9693233,247493,3591192.0,5854548.0
Holy See,31971.9127,9501.9442,15787,0,7042.0,8745.0
Honduras,11597.6,-65802.56970000001,133527333,3567064,21669283.0,108290986.0
Hungary,35984.9875,14881.017899999999,371018853,12271631,111425995.0,247321227.0
Iceland,49566.8453,-14512.870400000002,7689941,17468,2058185.0,5614288.0
India,15712.980892,60248.67744,12402585333,164812155,4859387857.0,7378385321.0
Indonesia,-602.2359,86921.9519,1286156876,40434009,363942501.0,881780366.0
Iran,24742.493804,40963.979098,1798513431,46369511,522325591.0,1229818329.0
Iraq,25349.294733,33327.299033,693252210,9532664,250454579.0,433264967.0
Ireland,40547.6512,-5869.0723,189713341,2545428,10712302.0,176455611.0
Israel,23688.136913,26591.779956000002,529005876,3225685,198086041.0,327694150.0
Italy,31948.290220000003,9588.91094,2172748306,61874837,759237934.0,1351635535.0
Jamaica,13817.6248,-58977.9925,27567202,614974,5428535.0,21523693.0
Japan,27624.280712000003,105486.981012,530491236,6195410,129683074.0,394612752.0
Jordan,23836.12,27857.129999999997,337322853,4104487,128718145.0,204500221.0
Kazakhstan,36638.9548,51062.7831,314548061,4921080,91195356.0,218431625.0
Kenya,-18.0068,28922.4306,94057427,1772801,29850411.0,62434215.0
Kiribati,-2571.6152,-128744.042,48916,90,0.0,48826.0
"Korea, South",27397.618591,97486.161486,139689145,1286221,28219140.0,110183784.0
Kosovo,32505.811267999998,15948.971451,56164208,1117141,20280591.0,34766476.0
Kuwait,22364.79658,36228.587458,166280442,950977,72140011.0,93189454.0
Kyrgyzstan,31438.94194,57046.532774,68499268,1111127,28445567.0,38942574.0
Laos,15150.334009999999,78204.063448,13596907,41529,167935.0,13387443.0
Latvia,43399.1348,18772.2416,74727177,1186255,21700606.0,51840316.0
Lebanon,25831.1361,27362.934899999997,251206810,3150750,90560589.0,157495471.0
Lesotho,-22592.43,21542.2368,7068430,186861,1187899.0,5693670.0
Liberia,4904.605965,-7194.707737,2081705,92842,641874.0,1346989.0
Libya,20093.6813,13145.216553,117106331,1729480,35980071.0,79396780.0
Liechtenstein,35967.82,7286.650000000001,1779744,26200,663464.0,1090080.0
Lithuania,42094.2522,18221.4319,147815220,2104656,48664190.0,97046374.0
Luxembourg,38009.0739,4676.8848,37018503,377782,15506143.0,21134578.0
MS Zaandam,0.0,0.0,6245,1386,1715.0,3144.0
Madagascar,-14319.180561,35761.128641,19028824,370543,8729202.0,9929079.0
Malawi,-10113.0309,26172.044499999996,21506511,719996,6286177.0,14500338.0
Malaysia,3212.599292,77807.509458,595976381,6032057,94234855.0,495709469.0
Maldives,2443.7364,55867.3941,30142553,80513,8915069.0,21146971.0
Mali,13406.437996,-3049.074658,7174984,246984,2293142.0,4634858.0
Malta,27420.3125,10968.4302,15844201,187182,6085906.0,9571113.0
Marshall Islands,5441.3345,130613.77350000001,2024,0,1000.0,1024.0
Mauritania,16029.027699999999,-8347.830399999999,13884327,298181,5034392.0,8551754.0
Mauritius,-15525.832251999998,43912.291976,8504628,85103,302234.0,8117291.0
Mexico,18033.123499999998,-78247.7864,1428826515,116478794,498203576.0,814144145.0
